Store,MAE,Actual_Sales,Predicted_Sales
1,1490.4817147031636,34520117.91,34768856.8589304
2,1707.9405265248745,41536882.28,41827591.40291327
3,722.1978240628297,9145456.69,9096428.84483685
4,1843.324946133724,47370986.89,47961852.88744722
5,518.5578946757483,7148749.42,7077838.756767612
6,1425.9054005050427,34300321.21,34705695.97222312
7,843.7222098977834,13584130.87,13619844.708676292
8,1020.563014542396,19989529.67,20127267.68176689
9,866.7404050981901,12116834.540000001,12214760.458985455
10,1732.7929607945493,38871644.97,39529002.075212285
11,1390.3803482919843,29530166.6,29819736.830021128
12,1127.397131287973,21398353.96,21545641.88439917
13,1884.5991133413663,45017592.4,45500762.17072827
14,2952.1773169785974,37116269.71,40226730.40082142
15,915.9787712291767,13074790.33,13331893.294632735
16,890.3431342789211,11995494.23,12258358.939342491
17,1247.5309476452355,21087369.69,21106264.248207025
18,1492.421725796995,23295855.72,23190805.043408215
19,1583.088324894677,30736722.32,31200201.618779797
20,2037.3492341069268,45988694.58,46210691.02702843
21,1015.6231920269288,15231578.66,15765313.662863614
22,1316.8689356462564,22323059.56,22370150.94226207
23,1751.7557461362373,31791326.64,32072968.196585827
24,1543.832838818875,30474057.39,30564776.679799065
25,892.6960156106559,15499782.51,15626527.41118041
26,1161.167930549573,23008785.11,23174053.43278669
27,1822.5271982895192,38002367.14,38464428.730908535
28,1508.8426071984854,27332400.94,27850615.022334274
29,861.5168920132525,11577976.75,11644206.110925563
30,448.90545497798036,9507522.75,9531895.806241412
31,1353.8488612791755,30312229.44,31015548.129329488
32,1134.0904144561798,26208988.54,26323264.944477137
33,441.91181134538175,5842652.64,5725259.223748275
34,934.424247666504,21226185.07,21373331.574519247
35,1334.8323136432039,19214280.28,18723567.814863086
36,588.7146701262689,6544283.04,6811122.759284736
37,514.2160405596148,11444377.24,11558737.71998512
38,538.5166374766465,9471863.62,9308668.644188713
39,1475.1622223260044,34807054.9,34721019.53912453
40,1119.4256499066253,21881384.1,22311607.29870731
41,1236.3087917577625,30484156.73,30416871.21509189
42,756.4219184049211,12376834.28,12616103.624342354
43,744.5021555191262,13563404.7,13749674.284249684
44,445.83430599215876,7447948.79,7315544.158680697
45,995.0289156477318,16577307.45,16861420.23523639
