Feature,Importance
Day,1087
Lag_1,983
Lag_52,820
Week,778
Dept,741
Rolling_Std_4,535
Dept_Min_Sales,512
Dept_Max_Sales,511
Week_Sin,470
Lag_2,419
Lag_4,382
Expanding_Min,380
Temperature,380
Expanding_Std,360
Dept_Avg_Sales,358
Expanding_Mean,329
Dept_Std_Sales,325
Fuel_Price,322
Store_Max_Sales,306
Lag_12,299
Expanding_Max,296
Week_Cos,294
CPI,264
Lag_8,256
Rolling_Std_8,250
Rolling_Std_12,241
Rolling_Min_4,232
Unemployment,224
Month,210
Store_Avg_Sales,205
Rolling_Mean_4,193
Store_Std_Sales,172
Store_Min_Sales,166
Month_Sin,148
Store,142
Store_Size_Relative,139
Holiday_Flag,133
Year,124
Rolling_Max_4,116
Rolling_Mean_8,115
Next_Holiday,113
Rolling_Mean_12,108
Dept_Sales_Contribution,99
Quarter,85
Dept_Sales_Rank,81
Previous_Holiday,81
Month_Cos,76
Near_Holiday,47
Store_Sales_Rank,43
Store_Type,34
Quarter_Sin,10
Quarter_Cos,6
IsWeekend,0
DayOfWeek,0
DayOfWeek_Sin,0
DayOfWeek_Cos,0
