Dept,MAE,Actual_Sales,Predicted_Sales
1,1185.7388214141415,16157773.94,16923316.2894
2,1791.533536969697,44055145.52,44635167.8714
3,2305.1194391515155,15417358.16,15666474.9297
4,1131.9181137373737,26575203.68,27042894.607
5,2415.1880272455355,16060522.63,16464501.77467492
6,793.4001647274339,3127128.35,3331171.06566349
7,2595.2768001919194,20773364.16,21502646.69017
8,1057.8030032323231,30272435.21,30419471.0772
9,2352.99456928399,23369918.17,23770387.03076685
10,1391.806289249495,18980380.19,19466146.055275
11,2893.926564191919,15239720.64,15448508.87627
12,385.33458727563635,4423569.7,4441649.26924112
13,1147.7592596969696,31026459.77,31219474.0651
14,1077.198123949495,13433721.97,13668594.85233
16,1975.3587394272727,15129429.95,15815018.597767
17,727.8971435934291,9352442.17,9362072.36743
18,923.3064949957019,2600230.4899999998,2680436.740425768
19,276.450304061877,1010640.91,1049696.82658277
20,540.1284542793175,5315542.23,5339900.5637179
21,323.8395496888889,4441700.08,4537604.19815
22,898.8867391757238,8937524.03,8846424.8718282
23,2015.2429241225734,21565885.81,21824223.1328476
24,1025.9880938945498,5450743.47,5332477.277785
25,764.3062152638987,8514591.09,8694699.89600781
26,809.4758214553073,6179030.52,6172945.2223955
27,195.10645122239643,1208874.13,1250256.9285604
28,123.41264166403002,424618.69,469404.43384746
29,459.99949230317844,4366329.28,4365456.176044
30,396.50753343980347,3202857.17,3299766.16674
31,493.35641018904465,2354971.22,2404061.48468595
32,635.1645114094828,5347961.29,5438583.234637925
33,958.99735374105,5446503.23,5306415.306351
34,1496.2276319092025,12980559.78,13196758.977406
35,425.64577524447174,2218347.61,2357583.175203
36,583.7150535872236,1595765.85,1799086.346324
37,288.4645143939394,1199740.95,1223854.1415
38,5439.38487070707,59169893.53,61116754.76
39,388.56356655555555,137.07999999999998,3634.152099
40,1653.2167205050503,44817127.55,44663402.8903
41,451.19488751354913,1745929.49,1755559.4400537
42,423.4697740988889,5378866.75,5355023.1998721
44,411.72669863851513,3898960.49,3826817.1918812
45,95.93990754370371,3368.26,13705.0756076
46,1126.8680575757576,19884883.37,20471118.5034
47,183.98737820675677,1150.8,2032.8422613000002
48,1012.114068543131,583619.11,535086.574106
49,929.2327744109264,5585816.71,5609983.05677
50,474.62924020661154,646819.8,657340.87349
51,85.46544557000001,136.99999999999997,3849.7287585
52,267.62042264438617,1628940.25,1730206.8335559
54,89.6434644286688,21587.47,63251.048183368
55,864.3902013488124,5940310.84,6215888.4505843
56,710.9277296432972,2553223.92,2937821.75750688
58,1593.3112615555556,2833519.46,2586522.77907
59,139.07434559482164,175173.23,274110.0715901
60,100.66280811555555,309980.51,352465.3741996
65,3742.663727272727,1060368.56,999184.232
67,660.688203030303,6648658.52,6664335.92364
71,747.586388974359,4407944.89,4432884.10817
72,5406.595909634409,39260467.65,40542275.96399
74,1086.3167946429294,13705245.71,13909625.0100335
77,370.81492566666674,-60.11,2164.7795539999997
78,71.13473255555556,23.0,341.95759499999997
79,1406.6735207070708,21533147.32,21897408.8503
80,644.9526194711664,11143161.17,11424788.2546537
81,709.2661705050506,15650784.03,15933385.5546
82,1045.6075495959597,15453688.3,15819785.9335
83,351.05177563744587,2916580.87,2953070.212431
85,330.7629700065217,1871541.49,1981522.1672
87,1282.513290768453,15542876.74,15251109.07537
90,1809.4116949494949,45357495.89,46346185.7416
91,1427.705664040404,33515409.42,33998523.41948
92,3542.232511919192,77140148.65,77849371.5032
93,1570.8375448073593,25926789.38,26272229.685898
94,1521.824349828604,30204389.59,30712662.46967937
95,3256.3261939393938,72660033.99,73794014.0
96,1076.9526423199502,12844034.0,13093819.4926966
97,838.6576288636364,14374882.04,14783123.80524
98,478.60867395680395,5795327.28,5902395.71286387
99,281.7809912087826,28396.22,85853.77228823
