Feature,Importance
Lag_1,0.45921844
Rolling_Mean_4,0.12859653
Expanding_Mean,0.092273325
Lag_2,0.087029725
Rolling_Min_4,0.042956214
Lag_4,0.016659435
Holiday_Flag,0.014426642
Dept_Sales_Rank,0.012787057
Lag_52,0.009853889
Month,0.009454538
Week,0.007919568
Store_Sales_Rank,0.007850723
Quarter,0.0077331658
Dept_Min_Sales,0.006959224
Dept_Max_Sales,0.0066852677
Month_Sin,0.006576593
Dept_Sales_Contribution,0.005988158
Next_Holiday,0.0057423203
Dept_Avg_Sales,0.005334795
Week_Cos,0.00466815
Expanding_Max,0.004657758
Expanding_Min,0.0045893304
Store_Avg_Sales,0.0042002606
Rolling_Max_4,0.0033081295
Day,0.002740973
Store_Std_Sales,0.0026230935
Year,0.0026038762
Week_Sin,0.0024285465
Store_Max_Sales,0.0023489075
Expanding_Std,0.0021969704
Rolling_Mean_12,0.002175205
Dept,0.001993499
Store_Size_Relative,0.0019211596
Previous_Holiday,0.0018662735
Store_Type,0.001849951
Rolling_Mean_8,0.0016799018
Dept_Std_Sales,0.001566347
Quarter_Cos,0.0015170233
Lag_8,0.0014915324
Month_Cos,0.0014859056
Rolling_Std_12,0.0014635739
Rolling_Std_8,0.0014497429
Near_Holiday,0.0013892337
Lag_12,0.0013236303
Rolling_Std_4,0.0011126964
Unemployment,0.00083695835
Quarter_Sin,0.0008253036
Store_Min_Sales,0.00079925323
Store,0.00078326615
Temperature,0.0007593502
CPI,0.00065590185
Fuel_Price,0.0006426657
IsWeekend,0.0
DayOfWeek,0.0
DayOfWeek_Sin,0.0
DayOfWeek_Cos,0.0
