Store,MAE,Actual_Sales,Predicted_Sales
1,1375.1691323722998,34520117.91,35035833.21247
2,1634.0914621853967,41536882.28,41940785.949618
3,703.3874536755275,9145456.69,9220284.22829307
4,1975.6366105468471,47370986.89,48874943.2453687
5,497.0786346789125,7148749.42,7208351.988066
6,1382.86487379243,34300321.21,34771707.1532977
7,820.8805320665332,13584130.87,13814456.054679668
8,957.6537298042189,19989529.67,20034577.042337
9,832.6014389736537,12116834.540000001,12225061.4467982
10,1716.5794646561897,38871644.97,39566328.141965
11,1338.5400559333762,29530166.6,29935698.04591
12,1069.3562532593512,21398353.96,21691206.92711727
13,1846.3246284599,45017592.4,45711920.2584137
14,3196.920564133506,37116269.71,40736848.149252
15,874.4395702602251,13074790.33,13384187.8384308
16,850.2507367635153,11995494.23,12406308.6741252
17,1179.826635314725,21087369.69,21275411.7688591
18,1421.1499438424821,23295855.72,23241524.96653836
19,1515.6653338372753,30736722.32,31212965.9965852
20,1952.64663126049,45988694.58,46412357.77437977
21,1031.5508617617568,15231578.66,15997944.1197966
22,1247.854427686098,22323059.56,22443519.798665
23,1819.660089035901,31791326.64,32760433.476575
24,1499.9178644304761,30474057.39,30678351.780328
25,855.4168792314287,15499782.51,15644528.7056599
26,1136.437623396058,23008785.11,23348830.6257892
27,1770.250429980605,38002367.14,38632454.12672245
28,1345.5607382160297,27332400.94,27821376.03548263
29,825.0611910938932,11577976.75,11719099.4136973
30,443.4210859927941,9507522.75,9588871.23011184
31,1304.005276201292,30312229.44,31293919.7503804
32,1074.031185979425,26208988.54,26465630.6853432
33,406.84005176369163,5842652.64,5811290.301708925
34,898.5420494314304,21226185.07,21439438.1487134
35,1370.5366546214527,19214280.28,18520655.5019166
36,513.5751599829845,6544283.04,6812637.03755042
37,483.2431048431885,11444377.24,11620227.99012309
38,503.4910200960034,9471863.62,9437324.44742342
39,1445.3057750355965,34807054.9,35041686.567451
40,1075.6109491155955,21881384.1,22478282.749583058
41,1164.933124918147,30484156.73,30560377.938307
42,659.2390895697695,12376834.28,12710416.4433883
43,686.1625810007677,13563404.7,13748872.7258392
44,412.73892923490104,7447948.79,7366183.08521981
45,975.3528225003386,16577307.45,16948655.201421
