Dept,Forecasted_Sales
92,8.192445e+08
95,7.707375e+08
38,6.954136e+08
90,6.804547e+08
40,6.57485e+08
2,6.541256e+08
72,6.448461e+08
91,6.417204e+08
13,6.306879e+08
8,6.288029e+08
7,6.2561146e+08
4,6.217301e+08
79,6.131889e+08
9,6.060918e+08
46,5.9760006e+08
1,5.964991e+08
82,5.960586e+08
10,5.9193306e+08
93,5.897725e+08
97,5.891253e+08
5,5.882527e+08
14,5.8752454e+08
81,5.8681e+08
87,5.836971e+08
74,5.753563e+08
11,5.733668e+08
67,5.7214944e+08
16,5.712506e+08
42,5.6981914e+08
3,5.692612e+08
21,5.678491e+08
17,5.6718675e+08
60,5.656195e+08
12,5.6053306e+08
31,5.568569e+08
80,5.566557e+08
94,5.51537e+08
25,5.5019386e+08
98,5.4962003e+08
52,5.4861184e+08
23,5.461569e+08
32,5.4321766e+08
20,5.4243136e+08
56,5.4139104e+08
28,5.37317e+08
83,5.3541568e+08
85,5.350199e+08
22,5.194241e+08
26,5.131337e+08
6,5.068268e+08
59,5.052331e+08
49,5.0152557e+08
27,4.9725533e+08
33,4.8938243e+08
18,4.883074e+08
29,4.867347e+08
55,4.8649584e+08
44,4.8605248e+08
24,4.859192e+08
34,4.7743434e+08
30,4.7256035e+08
71,4.6951776e+08
96,4.6848432e+08
41,4.6818765e+08
36,4.6763133e+08
35,4.6656918e+08
58,4.0850653e+08
19,4.0784243e+08
54,3.4891702e+08
99,2.5042325e+08
37,2.3265082e+08
48,1.9175682e+08
50,1.3888421e+08
45,6.097348e+07
47,4.6917516e+07
39,1.846751e+07
65,1.4692582e+07
77,2.6983628e+06
43,1.9584459e+06
78,1.823275e+06
51,1.7966424e+06
