Store,Forecasted_Sales
10,1.0916828e+09
4,1.0867223e+09
13,1.0689602e+09
2,1.05123206e+09
1,1.018567e+09
20,1.01491104e+09
14,1.01485523e+09
27,9.922352e+08
6,9.881942e+08
39,9.74413e+08
28,9.7009626e+08
34,9.6564115e+08
31,9.6541786e+08
19,9.6388294e+08
24,9.624689e+08
41,9.571654e+08
23,9.4266176e+08
32,9.402423e+08
11,9.348714e+08
12,9.248448e+08
40,9.243786e+08
18,9.065024e+08
8,8.83859e+08
45,8.799502e+08
17,8.779787e+08
26,8.7655526e+08
7,8.6208326e+08
22,8.5402035e+08
29,8.511409e+08
35,8.502756e+08
15,8.4770515e+08
25,8.455043e+08
21,8.4227795e+08
3,8.130188e+08
9,8.0854976e+08
16,8.0774125e+08
5,7.486064e+08
38,6.842525e+08
44,6.663154e+08
42,6.637882e+08
43,6.613592e+08
37,6.461401e+08
30,6.116585e+08
33,5.6785664e+08
36,5.586302e+08
