Date,Forecasted_Sales
2012-11-02,2.2773333e+08
2012-11-09,7.129565e+08
2012-11-16,9.344203e+08
2012-11-23,2.6613094e+08
2012-11-30,1.1868855e+09
2012-12-07,1.3641453e+09
2012-12-14,1.4034858e+09
2012-12-21,1.5927508e+09
2012-12-28,3.0403254e+08
2013-01-04,1.1925053e+09
2013-01-11,1.0889912e+09
2013-01-18,1.0574712e+09
2013-01-25,1.1033532e+09
2013-02-01,1.0878529e+09
2013-02-08,2.9096128e+08
2013-02-15,1.1123434e+09
2013-02-22,1.1628558e+09
2013-03-01,1.05300416e+09
2013-03-08,1.1009485e+09
2013-03-15,1.0947149e+09
2013-03-22,1.0201221e+09
2013-03-29,9.461318e+08
2013-04-05,1.151244e+09
2013-04-12,1.081901e+09
2013-04-19,1.0382418e+09
2013-04-26,1.0815012e+09
2013-05-03,1.0551977e+09
2013-05-10,1.1105062e+09
2013-05-17,1.05076486e+09
2013-05-24,1.1026493e+09
2013-05-31,9.4414694e+08
2013-06-07,1.1149412e+09
2013-06-14,1.0589984e+09
2013-06-21,9.962156e+08
2013-06-28,9.972138e+08
2013-07-05,1.1357193e+09
2013-07-12,1.0830232e+09
2013-07-19,1.0238284e+09
2013-07-26,1.0393245e+09
